rep,dist_type,censor_level,method,mean_true,mean_est,sd_true,sd_est,ks,kl,q05_true,q10_true,q25_true,q50_true,q75_true,q90_true,q95_true,q05_est,q10_est,q25_est,q50_est,q75_est,q90_est,q95_est,param_choice
1,gamma,0.2,parametric,8.259136974672654,8.322085752161216,4.317974348987457,4.39749750605052,0.0128,0.0838340332818153,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,2.664101137222475,3.4263963092030565,5.095261843319557,7.52532855385933,10.818458435575764,14.080790181009029,16.572894528803943,gamma_mle
1,gamma,0.2,nonparametric,8.259136974672654,7.661939406810305,4.317974348987457,5.086890702111199,0.1794,0.5304336828732534,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,4.894940483313224e-05,0.0022197171767770847,5.081552885166822,7.506226456185817,10.689791349379812,14.017967207028459,16.55256954125139,
1,gamma,0.2,lod_half,8.259136974672654,8.065280636838603,4.317974348987457,4.535167559106854,0.1662,4.261999945493317,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,2.283256057275748,2.283256057275748,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,
1,gamma,0.2,lod_sqrt2,8.259136974672654,8.25443176189743,4.317974348987457,4.30384659846118,0.114,4.1943438291777495,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,3.2290116825698827,3.2290116825698827,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,
1,gamma,0.4,parametric,8.259136974672654,8.265661187562285,4.317974348987457,4.32612317679665,0.0096,0.09098284174649718,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,2.687825168401275,3.4625301770810917,5.06375052911613,7.5156743090961555,10.606876111426955,13.982835254863792,16.504477757146688,gamma_mle
1,gamma,0.4,nonparametric,8.259136974672654,6.65588491963644,4.317974348987457,5.866636078722683,0.3559,0.9915156292994811,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,7.15947465577121e-06,5.32868747615219e-05,0.017176287984263572,7.5062763941539865,10.689120209226651,14.018539506515072,16.550965476477998,
1,gamma,0.4,lod_half,8.259136974672654,7.80943274310991,4.317974348987457,4.65361025938986,0.3096,8.92682127256812,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,3.27809569295837,3.27809569295837,3.27809569295837,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,
1,gamma,0.4,lod_sqrt2,8.259136974672654,8.352565421021984,4.317974348987457,4.144327149694621,0.2062,8.79324762067455,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,4.635927387738556,4.635927387738556,4.635927387738556,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,
1,gamma,0.6,parametric,8.259136974672654,8.280770468104103,4.317974348987457,4.253381127242792,0.0118,0.11844847336785412,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,2.7114690220468516,3.46477905786912,5.1391867546789545,7.597175951354818,10.62279935431502,14.083981908612481,16.27062070585646,gamma_mle
1,gamma,0.6,nonparametric,8.259136974672654,5.309922888989883,4.317974348987457,6.317805091787935,0.5254,1.3819961199865785,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,3.7147054412932415e-06,1.4529652440094719e-05,0.0007614170191820158,0.6163044660844577,10.688466952299562,14.018585673513979,16.55349835485433,
1,gamma,0.6,lod_half,8.259136974672654,7.584025612830519,4.317974348987457,4.535653257232776,0.4218,13.288906071357447,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,4.329452650588166,4.329452650588166,4.329452650588166,4.329452650588166,10.692053961372956,14.019343734602602,16.553948863395735,
1,gamma,0.6,lod_sqrt2,8.259136974672654,8.660016416145977,4.317974348987457,3.786681944941404,0.3592,13.229241641286619,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,6.122770656113929,6.122770656113929,6.122770656113929,6.122770656113929,10.692053961372956,14.019343734602602,16.553948863395735,
1,gamma,0.8,parametric,8.259136974672654,8.369312945614038,4.317974348987457,4.189769319102914,0.029,0.11607530264728828,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,2.808166138511571,3.644524205715483,5.313060675657911,7.654999228441042,10.738692645908392,13.996873036983345,16.12991778994732,gamma_mle
1,gamma,0.8,nonparametric,8.259136974672654,3.5606983577341875,4.317974348987457,6.100713873732679,0.6892,1.8013068403384238,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,2.8572341584432824e-06,7.81068095607508e-06,0.00016863799755989525,0.025919739893283233,4.221676792446168,14.016477554674797,16.55121319963018,
1,gamma,0.8,lod_half,8.259136974672654,7.614716820294934,4.317974348987457,3.938000497466879,0.4756,17.840723026729535,2.6479326745294287,3.3978152317173773,5.082389428188522,7.506381381668609,10.692053961372956,14.019343734602602,16.553948863395735,5.78350664345702,5.78350664345702,5.78350664345702,5.78350664345702,5.78350664345702,14.019343734602602,16.553948863395735,
